Fresh_weight	Genotype	Treatment	
0,0241	ccamk	Lj_SC	
0,0183	ccamk	Lj_SC	
0,0149	ccamk	Lj_SC	
0,0213	ccamk	Lj_SC	
0,0259	ccamk	Lj_SC	
0,0208	ccamk	Lj_SC	
0,0206	ccamk	Lj_SC	
0,0275	ccamk	Lj_SC	
0,0318	ccamk	Lj_SC	
0,0263	ccamk	Lj_SC	
0,0184	ccamk	Lj_SC	
0,0197	ccamk	Lj_SC	
0,027	ccamk	Lj_SC	
0,0235	ccamk	Lj_SC	
0,038	ccamk	Lj_SC	
0,022	ccamk	Lj_SC	
0,032	ccamk	Lj_SC	
0,0271	ccamk	Lj_SC	
0,0221	ccamk	Lj_SC	
0,0221	ccamk	Lj_SC	
0,0343	ccamk	Lj_SC	
0,0147	ccamk	Lj_SC	
0,0177	ccamk	Lj_SC	
0,0185	ccamk	Lj_SC	
0,0238	ccamk	Lj_SC	
0,022	ccamk	Lj_SC	
0,0125	ccamk	Lj_SC	
0,0158	ccamk	Lj_SC	
0,0283	ccamk	Lj_SC	
0,0271	ccamk	Lj_SC	
0,0302	ccamk	Lj_SC	
0,0327	ccamk	Lj_SC	
0,0187	ccamk	Lj_SC	
0,0157	ccamk	Lj_SC	
0,0102	ccamk	Lj_SC	
0,0353	ccamk	Lj_SC	
0,0279	ccamk	Lj_SC	
0,0256	ccamk	Lj_SC	
0,0212	ccamk	Lj_SC	
0,0257	ccamk	Lj_SC	
0,0309	ccamk	Lj_SC	
0,0212	ccamk	Lj_SC	
0,0137	ccamk	Lj_SC	
0,0299	ccamk	Lj_SC	
0,0375	ccamk	Lj_SC	
0,0223	ccamk	Lj_SC	
0,0184	ccamk	Lj_SC	
0,0289	ccamk	Lj_SC	
0,0195	ccamk	Lj_SC	
0,0181	ccamk	Lj_SC	
0,0163	ccamk	Lj_SC	
0,029	ccamk	Lj_SC	
0,0378	ccamk	Lj_SC	
0,018	ccamk	Lj_SC	
0,0285	ccamk	Lj_SC	
0,0242	ccamk	Lj_SC	
0,0303	ccamk	Lj_SC	
0,0223	ccamk	Lj_SC	
0,0119	ccamk	Lj_SC	
0,0129	ccamk	Lj_SC	
0,014	ccamk	Lj_SC	
0,0162	ccamk	Lj_SC	
0,0169	ccamk	Lj_SC	
0,0098	ccamk	Lj_SC	
0,0198	ccamk	Lj_SC	
0,0203	ccamk	Lj_SC	
0,0218	ccamk	Lj_SC	
0,0207	ccamk	Lj_SC	
0,0194	ccamk	Lj_SC	
0,0142	ccamk	Lj_SC	
0,0156	ccamk	Lj_SC	
0,0181	ccamk	Lj_SC	
