Fresh_weight	Plant_species	Genotype	Soil_type
0.044	Lotus	ccamk	PK
0.0382	Lotus	ccamk	PK
0.0335	Lotus	ccamk	PK
0.045	Lotus	ccamk	PK
0.0267	Lotus	ccamk	PK
0.0303	Lotus	ccamk	PK
0.0316	Lotus	ccamk	PK
0.0326	Lotus	ccamk	PK
0.0326	Lotus	ccamk	PK
0.0064	Lotus	ccamk	PK
0.0347	Lotus	ccamk	PK
0.0342	Lotus	ccamk	PK
0.0307	Lotus	ccamk	PK
0.0328	Lotus	ccamk	PK
0.0301	Lotus	ccamk	PK
0.0246	Lotus	ccamk	PK
0.0274	Lotus	ccamk	PK
0.0163	Lotus	ccamk	PK
0.015	Lotus	ccamk	PK
0.0404	Lotus	ccamk	PK
0.0456	Lotus	ccamk	PK
0.0296	Lotus	ccamk	PK
0.0315	Lotus	ccamk	PK
0.0173	Lotus	ccamk	PK
0.0381	Lotus	ccamk	PK
0.0306	Lotus	ccamk	PK
0.0348	Lotus	ccamk	PK
0.0388	Lotus	ccamk	PK
0.0312	Lotus	ccamk	PK
0.0515	Lotus	ccamk	PK
0.0474	Lotus	ccamk	PK
0.0505	Lotus	ccamk	PK
0.0507	Lotus	ccamk	PK
0.0377	Lotus	ccamk	PK
0.0269	Lotus	ccamk	PK
0.0211	Lotus	ccamk	PK
0.0405	Lotus	ccamk	PK
0.0398	Lotus	ccamk	PK
0.0256	Lotus	ccamk	PK
0.0257	Lotus	ccamk	PK
0.0302	Lotus	ccamk	PK
0.0295	Lotus	ccamk	PK
0.0215	Lotus	ccamk	PK
0.0328	Lotus	ccamk	PK
0.0472	Lotus	ccamk	PK
0.0289	Lotus	ccamk	PK
0.036	Lotus	ccamk	PK
0.0193	Lotus	ccamk	PK
0.0364	Lotus	ccamk	PK
0.0159	Lotus	ccamk	PK
0.0136	Lotus	ccamk	PK
0.0179	Lotus	ccamk	PK
0.0298	Lotus	ccamk	PK
0.0166	Lotus	ccamk	PK
0.0232	Lotus	ccamk	PK
0.0144	Lotus	ccamk	PK
0.0324	Lotus	WT	PK
0.0395	Lotus	WT	PK
0.0415	Lotus	WT	PK
0.0354	Lotus	WT	PK
0.0455	Lotus	WT	PK
0.0263	Lotus	WT	PK
0.0483	Lotus	WT	PK
0.0633	Lotus	WT	PK
0.0392	Lotus	WT	PK
0.0291	Lotus	WT	PK
0.0531	Lotus	WT	PK
0.0375	Lotus	WT	PK
0.0542	Lotus	WT	PK
0.0388	Lotus	WT	PK
0.0379	Lotus	WT	PK
0.0352	Lotus	WT	PK
0.0475	Lotus	WT	PK
0.0285	Lotus	WT	PK
0.0375	Lotus	WT	PK
0.0324	Lotus	WT	PK
0.0479	Lotus	WT	PK
0.0344	Lotus	WT	PK
0.0494	Lotus	WT	PK
0.0567	Lotus	WT	PK
0.0654	Lotus	WT	PK
0.0366	Lotus	WT	PK
0.0286	Lotus	WT	PK
0.0459	Lotus	WT	PK
0.0284	Lotus	WT	PK
0.047	Lotus	WT	PK
0.0432	Lotus	WT	PK
0.0422	Lotus	WT	PK
