ASVid,Soil,Compartment,Genotype,LogFC,DA_by_sig,DA_by_struc_zero,Kingdom,Phylum,Class,Order,Family,Genus,Species,Confidence
bd90faaa34a776a589d0517a4c28901a,NPK,Root,symrk,1.51044447990013,TRUE,FALSE,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Unknown,0.99998864325715
bd90faaa34a776a589d0517a4c28901a,NPK,Root,ccamk,1.6311150850279,TRUE,FALSE,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Unknown,0.99998864325715
bd90faaa34a776a589d0517a4c28901a,NPK,Root,nsp2,1.72893295745247,TRUE,FALSE,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Unknown,0.99998864325715
bd90faaa34a776a589d0517a4c28901a,UF,Root,nsp2,1.29803754625557,TRUE,FALSE,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Unknown,0.99998864325715
bd919076428f4c014e3ea5ff73fa4dcd,PK,Rhizosphere,symrk,-1.16423211413076,FALSE,TRUE,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,Unknown,0.999972344028659
bd919076428f4c014e3ea5ff73fa4dcd,PK,Rhizosphere,nsp2,-1.16423211413076,FALSE,TRUE,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,Unknown,0.999972344028659
bd919076428f4c014e3ea5ff73fa4dcd,PK,Root,symrk,-2.52795804197319,FALSE,TRUE,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,Unknown,0.999972344028659
c0eb4a9acc54a1e6606e8f867b2d5b2c,PK,Rhizosphere,ccamk,0.991338498236198,FALSE,TRUE,Bacteria,Actinobacteriota,MB-A2-108,MB-A2-108,MB-A2-108,MB-A2-108,metagenome,0.997885516209113
c0eb4a9acc54a1e6606e8f867b2d5b2c,PK,Rhizosphere,nsp2,1.88784197974379,TRUE,TRUE,Bacteria,Actinobacteriota,MB-A2-108,MB-A2-108,MB-A2-108,MB-A2-108,metagenome,0.997885516209113
c1236d9589f1a86c89ca11612c936963,NPK,Rhizosphere,nsp1,2.31785682360653,TRUE,FALSE,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unknown,Unknown,Unknown,0.999836080333202
c1236d9589f1a86c89ca11612c936963,NPK,Root,symrk,1.68460575142293,TRUE,FALSE,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unknown,Unknown,Unknown,0.999836080333202
c1236d9589f1a86c89ca11612c936963,NPK,Root,ccamk,1.53575621753375,TRUE,FALSE,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unknown,Unknown,Unknown,0.999836080333202
c1236d9589f1a86c89ca11612c936963,NPK,Root,nsp1,3.17265999268393,TRUE,FALSE,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unknown,Unknown,Unknown,0.999836080333202
c1236d9589f1a86c89ca11612c936963,NPK,Root,nsp2,1.77860783187896,TRUE,FALSE,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unknown,Unknown,Unknown,0.999836080333202
c1b64fff6f192cc6db5d6ccc2a7f3391,PK,Rhizosphere,symrk,0.775368798061682,FALSE,TRUE,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,Unknown,0.999990336601323
c1b64fff6f192cc6db5d6ccc2a7f3391,PK,Rhizosphere,nsp2,0.847842951886069,FALSE,TRUE,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,Unknown,0.999990336601323
c2c92bf2b0a658ce2854ce58c3c58693,PK,Rhizosphere,nsp1,-1.85033167579637,FALSE,TRUE,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Unknown,Unknown,0.999164670280006
c34cb87c43a979f08da81f3ccd5d7bd9,NPK,Rhizosphere,nsp1,1.34865579773009,TRUE,FALSE,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Unknown,0.999374648001798
c4b257c2a7fe2a731ebb61ae888cde16,NPK,Rhizosphere,nsp1,1.7338816836677,FALSE,TRUE,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Rhodoblastus,uncultured_bacterium,0.880194243123836
c4b257c2a7fe2a731ebb61ae888cde16,PK,Rhizosphere,ccamk,1.40592858511036,FALSE,TRUE,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Rhodoblastus,uncultured_bacterium,0.880194243123836
c4dd2261c398ac78b5a596ecf1d105d4,PK,Root,symrk,-2.23672341402873,TRUE,FALSE,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Unknown,0.97550330025058
c4dd2261c398ac78b5a596ecf1d105d4,PK,Root,nsp2,-1.95190686841958,TRUE,FALSE,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Unknown,0.97550330025058
c5309a4e9d354611485452d6fc51a75a,NPK,Root,ccamk,2.07645235634208,TRUE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,Unknown,0.860858440063532
c53b0187195cd1bf7dda2f0575023463,UF,Root,ccamk,-1.09592693468174,FALSE,TRUE,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,Caulobacter_sp.,0.921255386943395
c5c2f468ed0c84f898045623856679cf,NPK,Root,symrk,1.38055041247479,TRUE,FALSE,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Unknown,0.997984109504111
c5c2f468ed0c84f898045623856679cf,NPK,Root,ccamk,1.37139302871142,TRUE,FALSE,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Unknown,0.997984109504111
c5c2f468ed0c84f898045623856679cf,NPK,Root,nsp1,1.69635092546562,TRUE,FALSE,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Unknown,0.997984109504111
c5c2f468ed0c84f898045623856679cf,NPK,Root,nsp2,1.70221720807033,TRUE,FALSE,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Unknown,0.997984109504111
c5c2f468ed0c84f898045623856679cf,PK,Root,symrk,1.35815612103303,TRUE,FALSE,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Unknown,0.997984109504111
c5c2f468ed0c84f898045623856679cf,PK,Root,nsp1,1.38727434251282,TRUE,FALSE,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Unknown,0.997984109504111
