"8795257ad8ffc91bd23d146ec8d2eac3","8795257ad8ffc91bd23d146ec8d2eac3",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,32,0,0,0,2,0,0,0,3,2,2,0,0,0,0,0,0,0
"f473c6a09abfc2c05fd71408a19e0a8c","f473c6a09abfc2c05fd71408a19e0a8c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,23,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"1379c8625e39152b57a1f00fca652247","1379c8625e39152b57a1f00fca652247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0
"8a4c2a4569b2de69e9916f61c249df8a","8a4c2a4569b2de69e9916f61c249df8a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"62bcf431660b28558ac0e20254c772d9","62bcf431660b28558ac0e20254c772d9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5a7ca5271412c096b7e89e80736538a7","5a7ca5271412c096b7e89e80736538a7",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1d5ff67e70bd4d0e2b4c111492a38e72","1d5ff67e70bd4d0e2b4c111492a38e72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4fd2887ec32533e9a0af45e16e67692a","4fd2887ec32533e9a0af45e16e67692a",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"b26eb492ca5cb52d934cbddf5de504ec","b26eb492ca5cb52d934cbddf5de504ec",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cf93fcf2e02dadebfb506919c2787a14","cf93fcf2e02dadebfb506919c2787a14",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"a5aa27bee95eb1a7a21084ba055cbd91","a5aa27bee95eb1a7a21084ba055cbd91",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
"2551cce22ced77919cd7f9f8edc4b351","2551cce22ced77919cd7f9f8edc4b351",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3d67704007302179d59470162838d688","3d67704007302179d59470162838d688",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ce01f1706074e35ace53c48c5e8c6ece","ce01f1706074e35ace53c48c5e8c6ece",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
"e2bbd20bd0d53f2dd6b0d39d17702a28","e2bbd20bd0d53f2dd6b0d39d17702a28",0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e90aee3b52b65c6cec85e808d79ffe5a","e90aee3b52b65c6cec85e808d79ffe5a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"587d89449c0ad78474eb1b5fbe3e1d1a","587d89449c0ad78474eb1b5fbe3e1d1a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
