Number	Nodule_type	Genotype
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
0	pink	nsp2
