Soil_type	Genotype	pink	white	total
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
NPK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
PK	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
UF	nsp2	0	0	0
NPK	symrk	0	0	0
NPK	symrk	0	0	0
NPK	symrk	0	0	0
NPK	symrk	0	0	0
NPK	symrk	0	0	0
NPK	symrk	0	0	0
NPK	symrk	0	0	0
NPK	symrk	0	0	0
NPK	symrk	0	0	0
NPK	symrk	0	0	0
NPK	symrk	0	0	0
NPK	symrk	0	0	0
NPK	symrk	0	0	0
NPK	symrk	0	0	0
NPK	symrk	0	0	0
NPK	symrk	0	0	0
NPK	symrk	0	0	0
NPK	symrk	0	0	0
NPK	symrk	0	0	0
NPK	symrk	0	0	0
NPK	symrk	0	0	0
NPK	symrk	0	0	0
NPK	symrk	0	0	0
NPK	symrk	0	0	0
NPK	symrk	0	0	0
NPK	symrk	0	0	0
NPK	symrk	0	0	0
NPK	symrk	0	0	0
PK	symrk	0	0	0
PK	symrk	0	0	0
PK	symrk	0	0	0
PK	symrk	0	0	0
PK	symrk	0	0	0
PK	symrk	0	0	0
PK	symrk	0	0	0
PK	symrk	0	0	0
PK	symrk	0	0	0
PK	symrk	0	0	0
PK	symrk	0	0	0
PK	symrk	0	0	0
PK	symrk	0	0	0
PK	symrk	0	0	0
PK	symrk	0	0	0
PK	symrk	0	0	0
PK	symrk	0	0	0
PK	symrk	0	0	0
PK	symrk	0	0	0
PK	symrk	0	0	0
PK	symrk	0	0	0
PK	symrk	0	0	0
PK	symrk	0	0	0
PK	symrk	0	0	0
PK	symrk	0	0	0
PK	symrk	0	0	0
PK	symrk	0	0	0
PK	symrk	0	0	0
PK	symrk	0	0	0
PK	symrk	0	0	0
PK	symrk	0	0	0
UF	symrk	0	0	0
UF	symrk	0	0	0
UF	symrk	0	0	0
UF	symrk	0	0	0
UF	symrk	0	0	0
UF	symrk	0	0	0
UF	symrk	0	0	0
UF	symrk	0	0	0
UF	symrk	0	0	0
UF	symrk	0	0	0
UF	symrk	0	0	0
UF	symrk	0	0	0
UF	symrk	0	0	0
UF	symrk	0	0	0
UF	symrk	0	0	0
UF	symrk	0	0	0
UF	symrk	0	0	0
UF	symrk	0	0	0
UF	symrk	0	0	0
UF	symrk	0	0	0
UF	symrk	0	0	0
UF	symrk	0	0	0
UF	symrk	0	0	0
UF	symrk	0	0	0
UF	symrk	0	0	0
UF	symrk	0	0	0
UF	symrk	0	0	0
UF	symrk	0	0	0
UF	symrk	0	0	0
