"","Fresh_weight","Genotype","Treatment","Host"
"199",0.0239,"ccamk","Lj_SC","Lotus"
"200",0.0433,"ccamk","Lj_SC","Lotus"
"201",0.0395,"ccamk","Lj_SC","Lotus"
"202",0.0246,"ccamk","Lj_SC","Lotus"
"203",0.0202,"ccamk","Lj_SC","Lotus"
"204",0.0219,"ccamk","Lj_SC","Lotus"
"205",0.027,"ccamk","Lj_SC","Lotus"
"206",0.0171,"ccamk","Lj_SC","Lotus"
"207",0.0204,"ccamk","Lj_SC","Lotus"
"208",0.0253,"ccamk","Lj_SC","Lotus"
"209",0.0172,"ccamk","Lj_SC","Lotus"
"210",0.0204,"ccamk","Lj_SC","Lotus"
"211",0.0241,"ccamk","Lj_SC","Lotus"
"212",0.0183,"ccamk","Lj_SC","Lotus"
"213",0.0149,"ccamk","Lj_SC","Lotus"
"214",0.0213,"ccamk","Lj_SC","Lotus"
"215",0.0259,"ccamk","Lj_SC","Lotus"
"216",0.0208,"ccamk","Lj_SC","Lotus"
"217",0.0206,"ccamk","Lj_SC","Lotus"
"218",0.0275,"ccamk","Lj_SC","Lotus"
"219",0.0318,"ccamk","Lj_SC","Lotus"
"220",0.0263,"ccamk","Lj_SC","Lotus"
"221",0.0184,"ccamk","Lj_SC","Lotus"
"222",0.0197,"ccamk","Lj_SC","Lotus"
"223",0.027,"ccamk","Lj_SC","Lotus"
"224",0.0235,"ccamk","Lj_SC","Lotus"
"225",0.038,"ccamk","Lj_SC","Lotus"
"226",0.022,"ccamk","Lj_SC","Lotus"
"227",0.032,"ccamk","Lj_SC","Lotus"
"228",0.0271,"ccamk","Lj_SC","Lotus"
"229",0.0221,"ccamk","Lj_SC","Lotus"
"230",0.0221,"ccamk","Lj_SC","Lotus"
"231",0.0343,"ccamk","Lj_SC","Lotus"
"232",0.0147,"ccamk","Lj_SC","Lotus"
"233",0.0177,"ccamk","Lj_SC","Lotus"
"234",0.0185,"ccamk","Lj_SC","Lotus"
"235",0.0238,"ccamk","Lj_SC","Lotus"
"236",0.022,"ccamk","Lj_SC","Lotus"
"237",0.0125,"ccamk","Lj_SC","Lotus"
"238",0.0158,"ccamk","Lj_SC","Lotus"
"239",0.0283,"ccamk","Lj_SC","Lotus"
"240",0.0271,"ccamk","Lj_SC","Lotus"
"241",0.0302,"ccamk","Lj_SC","Lotus"
"242",0.0327,"ccamk","Lj_SC","Lotus"
"243",0.0187,"ccamk","Lj_SC","Lotus"
"244",0.0157,"ccamk","Lj_SC","Lotus"
"245",0.0102,"ccamk","Lj_SC","Lotus"
"246",0.0353,"ccamk","Lj_SC","Lotus"
"247",0.0279,"ccamk","Lj_SC","Lotus"
"248",0.0256,"ccamk","Lj_SC","Lotus"
